0,1,2,3,4,5,6
"[1240.539, 716.475]","[1869.767, 766.707]","[1504.92, 935.912]","[1134.786, 1147.417]","[791.089, 906.83]","[1240.539, 716.475]",
"[1140.073, 1147.417]","[1618.605, 1401.224]","[2348.299, 927.98]","[1912.069, 753.488]","[1140.073, 1147.417]",,
"[680.049, 719.119]","[190.942, 764.064]","[0.0, 912.118]","[0.0, 1057.528]","[341.64, 1028.446]","[680.049, 719.119]",
"[616.597, 436.23]","[785.802, 375.422]","[629.816, 348.984]","[529.351, 388.641]","[582.228, 407.148]","[616.597, 436.23]",
"[637.748, 444.162]","[460.612, 497.038]","[397.16, 452.093]","[531.995, 396.573]","[584.871, 415.08]","[637.748, 444.162]",
"[402.448, 449.449]","[452.681, 497.038]","[487.05, 555.202]","[257.038, 618.654]","[249.106, 504.969]","[402.448, 449.449]",
"[1087.197, 301.395]","[1243.182, 219.437]","[865.116, 243.231]","[783.158, 325.19]","[1087.197, 301.395]",,
"[2372.093, 240.588]","[2652.338, 261.738]","[2578.311, 206.218]","[2562.448, 161.273]","[2393.244, 153.341]","[2353.586, 198.286]","[2372.093, 240.588]"
"[3001.322, 306.683]","[2734.296, 304.039]","[2990.747, 454.737]","[3223.403, 449.449]","[3001.322, 306.683]",,
"[2062.766, 232.656]","[2218.752, 206.218]","[2038.972, 126.904]","[1923.966, 149.376]","[2062.766, 232.656]",,
