0,1,2,3
"[1149.0, 750.0]","[1413.0, 897.0]","[1275.0, 1014.0]","[996.0, 810.0]"
"[1665.0, 861.0]","[1521.0, 930.0]","[1800.0, 1188.0]","[1965.0, 1077.0]"
"[99.0, 771.0]","[540.0, 747.0]","[459.0, 903.0]","[12.0, 858.0]"
"[567.0, 381.0]","[615.0, 342.0]","[681.0, 351.0]","[618.0, 396.0]"
"[456.0, 423.0]","[507.0, 387.0]","[555.0, 402.0]","[495.0, 447.0]"
"[252.0, 504.0]","[396.0, 447.0]","[450.0, 498.0]","[255.0, 558.0]"
"[693.0, 213.0]","[705.0, 333.0]","[786.0, 324.0]","[750.0, 204.0]"
"[2406.0, 132.0]","[2556.0, 138.0]","[2559.0, 174.0]","[2391.0, 168.0]"
"[2925.0, 303.0]","[3042.0, 426.0]","[3168.0, 411.0]","[3024.0, 303.0]"
"[2178.0, 111.0]","[2328.0, 126.0]","[2319.0, 177.0]","[2073.0, 129.0]"
