0,1,2,3,4
"[1282.0, 1158.0]","[1567.0, 1407.0]","[1488.0, 1468.0]","[1155.0, 1202.0]",
"[2097.0, 1251.0]","[1933.0, 1345.0]","[2236.0, 1546.0]","[2407.0, 1402.0]",
"[3440.196, 893.61]","[3471.922, 1089.253]","[3815.618, 1089.253]","[3781.249, 996.719]",
"[3448.128, 787.858]","[3442.84, 893.611]","[3787.858, 986.144]","[3805.042, 875.104]",
"[2334.0, 495.0]","[2527.0, 503.0]","[2541.0, 546.0]","[2331.0, 531.0]",
"[2199.0, 485.0]","[2250.0, 489.0]","[2252.0, 520.0]","[2194.0, 512.0]",
"[2111.0, 472.0]","[2178.0, 485.0]","[2166.0, 512.0]","[2064.0, 493.0]",
"[824.0, 526.0]","[826.0, 609.0]","[879.0, 606.0]","[876.0, 516.0]",
"[691.0, 649.0]","[747.0, 620.0]","[785.0, 629.0]","[726.0, 661.0]",
"[613.0, 643.0]","[528.0, 684.0]","[569.0, 717.0]","[667.0, 669.0]",
"[340.0, 711.0]","[481.0, 689.0]","[489.0, 735.0]","[341.0, 765.0]",
"[141.0, 928.0]","[599.0, 1033.0]","[329.0, 1294.0]","[0.0, 1245.0]","[0.0, 1046.0]"
