"{'x': 435.344, 'y': 1622.294}","{'x': 468.378, 'y': 2000.34}","{'x': 743.653, 'y': 1910.416}","{'x': 595.004, 'y': 1596.602}","{'x': 435.344, 'y': 1622.294}",,,
"{'x': 1220.799, 'y': 1837.009}","{'x': 1402.481, 'y': 1774.613}","{'x': 2272.353, 'y': 1947.12}","{'x': 1908.989, 'y': 2143.483}","{'x': 1220.799, 'y': 1837.009}",,,
"{'x': 459.201, 'y': 662.498}","{'x': 690.433, 'y': 554.223}","{'x': 499.575, 'y': 583.585}","{'x': 459.201, 'y': 662.498}",,,,
"{'x': 690.433, 'y': 552.387}","{'x': 675.752, 'y': 510.178}","{'x': 864.775, 'y': 464.299}","{'x': 888.632, 'y': 475.31}","{'x': 690.433, 'y': 552.387}",,,
"{'x': 1967.715, 'y': 337.672}","{'x': 2015.429, 'y': 363.364}","{'x': 2127.375, 'y': 356.024}","{'x': 2063.144, 'y': 326.661}","{'x': 1967.715, 'y': 337.672}",,,
"{'x': 2138.386, 'y': 357.859}","{'x': 2242.991, 'y': 376.211}","{'x': 2354.936, 'y': 370.705}","{'x': 2292.54, 'y': 345.013}","{'x': 2138.386, 'y': 357.859}",,,
"{'x': 3566.151, 'y': 998.335}","{'x': 3630.382, 'y': 950.62}","{'x': 3437.689, 'y': 860.696}","{'x': 3507.426, 'y': 998.335}","{'x': 3566.151, 'y': 998.335}",,,
"{'x': 3479.898, 'y': 868.037}","{'x': 3534.953, 'y': 831.334}","{'x': 3340.425, 'y': 734.07}","{'x': 3377.128, 'y': 823.993}","{'x': 3479.898, 'y': 868.037}",,,
"{'x': 467.853, 'y': 553.682}","{'x': 665.831, 'y': 502.145}","{'x': 618.593, 'y': 464.4}","{'x': 505.735, 'y': 407.667}","{'x': 388.827, 'y': 442.827}","{'x': 451.296, 'y': 501.246}","{'x': 467.853, 'y': 553.682}",
"{'x': 673.93, 'y': 508.309}","{'x': 623.789, 'y': 455.154}","{'x': 511.718, 'y': 404.405}","{'x': 647.656, 'y': 363.262}","{'x': 802.017, 'y': 397.454}","{'x': 863.271, 'y': 460.891}","{'x': 673.93, 'y': 508.309}",
"{'x': 0.0, 'y': 1553.115}","{'x': 643.111, 'y': 1419.291}","{'x': 1108.13, 'y': 1783.376}","{'x': 422.3, 'y': 1967.701}","{'x': 0.0, 'y': 2039.954}","{'x': 0.0, 'y': 1553.115}",,
"{'x': 1.327, 'y': 2071.92}","{'x': 466.817, 'y': 1973.504}","{'x': 1082.08, 'y': 1812.62}","{'x': 1216.847, 'y': 1769.429}","{'x': 1986.335, 'y': 2076.669}","{'x': 1831.189, 'y': 2155.242}","{'x': 0.0, 'y': 2160.0}","{'x': 1.327, 'y': 2071.92}"
"{'x': 3439.633, 'y': 711.553}","{'x': 3459.383, 'y': 836.559}","{'x': 3810.397, 'y': 1003.607}","{'x': 3840.0, 'y': 907.777}","{'x': 3439.633, 'y': 711.553}",,,
"{'x': 3441.14, 'y': 837.277}","{'x': 3508.018, 'y': 980.886}","{'x': 3592.599, 'y': 995.688}","{'x': 3776.564, 'y': 1103.529}","{'x': 3825.198, 'y': 1128.904}","{'x': 3840.0, 'y': 1021.961}","{'x': 3441.14, 'y': 837.277}",
"{'x': 1961.323, 'y': 303.087}","{'x': 2031.103, 'y': 341.149}","{'x': 2299.649, 'y': 328.462}","{'x': 2489.958, 'y': 322.118}","{'x': 2445.552, 'y': 279.827}","{'x': 1961.323, 'y': 303.087}",,
"{'x': 2035.512, 'y': 339.215}","{'x': 2314.631, 'y': 377.277}","{'x': 2534.543, 'y': 358.246}","{'x': 2492.252, 'y': 324.413}","{'x': 2035.512, 'y': 339.215}",,,
"{'x': 218.812, 'y': 1087.705}","{'x': 166.421, 'y': 865.811}","{'x': 6.164, 'y': 952.103}","{'x': 0.0, 'y': 1214.061}","{'x': 218.812, 'y': 1087.705}",,,
"{'x': 1094.061, 'y': 440.514}","{'x': 1519.358, 'y': 314.157}","{'x': 912.231, 'y': 234.029}","{'x': 748.892, 'y': 360.385}","{'x': 1094.061, 'y': 440.514}",,,
"{'x': 3143.499, 'y': 1688.668}","{'x': 3559.55, 'y': 1186.325}","{'x': 3840.0, 'y': 1260.289}","{'x': 3833.836, 'y': 1694.831}","{'x': 3143.499, 'y': 1688.668}",,,
"{'x': 2708.956, 'y': 406.613}","{'x': 3254.447, 'y': 542.215}","{'x': 3291.428, 'y': 428.186}","{'x': 2887.705, 'y': 326.485}","{'x': 2708.956, 'y': 406.613}",,,
