0,1,2,3,4,5
"[1824.823, 1253.17]","[1475.838, 1081.322]","[703.843, 1343.06]","[1029.033, 1618.017]","[1824.823, 1253.17]",
"[1034.321, 1610.086]","[1547.222, 1935.275]","[2607.393, 1287.54]","[2200.245, 1081.322]","[1034.321, 1610.086]",
"[143.354, 959.706]","[608.666, 1002.007]","[312.558, 1195.006]","[0.0, 1192.362]","[0.0, 1057.528]","[143.354, 959.706]"
"[436.818, 682.105]","[502.913, 771.995]","[275.545, 824.871]","[257.038, 724.406]","[436.818, 682.105]",
"[489.694, 729.694]","[717.062, 679.461]","[621.885, 626.585]","[442.105, 674.174]","[489.694, 729.694]",
"[3257.772, 687.393]","[3308.005, 864.529]","[3675.496, 914.761]","[3582.962, 756.132]","[3257.772, 687.393]",
"[2419.682, 462.668]","[2520.147, 460.024]","[2631.187, 528.764]","[2411.75, 541.983]","[2324.505, 462.668]","[2419.682, 462.668]"
"[2139.437, 462.669]","[2012.534, 478.531]","[2094.492, 515.545]","[2234.614, 491.751]","[2139.437, 462.669]",
"[2131.506, 462.668]","[2031.04, 412.436]","[1917.356, 441.518]","[2004.602, 475.887]","[2131.506, 462.668]",
"[690.624, 589.572]","[680.049, 531.407]","[405.091, 555.202]","[415.667, 616.01]","[690.624, 589.572]",
