0,1,2,3,4
"[1216.744, 912.118]","[1459.975, 1057.528]","[743.5, 1366.855]","[531.995, 1163.281]","[1216.744, 912.118]"
"[2118.286, 832.803]","[2504.283, 962.35]","[1253.757, 1586.291]","[989.375, 1253.17]","[2118.286, 832.803]"
"[2744.871, 830.159]","[1980.808, 1232.02]","[2504.284, 1602.154]","[3186.389, 949.131]","[2744.871, 830.159]"
"[3397.895, 666.242]","[3506.291, 843.378]","[3840.0, 824.871]","[3836.769, 703.256]","[3397.895, 666.242]"
"[2982.815, 467.956]","[3228.691, 520.833]","[3207.54, 576.353]","[3019.828, 534.052]","[2982.815, 467.956]"
"[2982.815, 470.599]","[3001.322, 409.791]","[3252.485, 460.024]","[3228.691, 520.832]","[2982.815, 470.599]"
"[2242.546, 341.053]","[2350.942, 333.121]","[2472.558, 367.491]","[2335.08, 383.354]","[2242.546, 341.053]"
"[257.038, 602.791]","[447.393, 547.271]","[558.433, 592.216]","[365.435, 645.092]","[257.038, 602.791]"
"[545.214, 592.216]","[722.35, 531.408]","[547.857, 504.968]","[442.105, 547.271]","[545.214, 592.216]"
"[320.49, 814.296]","[537.283, 824.871]","[233.244, 1089.253]","[16.45, 1049.596]","[320.49, 814.296]"
"[457.968, 438.873]","[714.419, 407.148]","[703.843, 483.818]","[423.598, 504.969]","[457.968, 438.873]"
"[2060.122, 296.108]","[1864.48, 346.34]","[2044.259, 359.559]","[2139.437, 319.902]","[2060.122, 296.108]"
"[2041.616, 293.464]","[1898.85, 282.889]","[1660.906, 346.34]","[1855.227, 342.375]","[2041.616, 293.464]"
