0,1,2,3,4,5,6
"[1378.017, 1118.336]","[1774.59, 1295.471]","[1047.54, 1678.825]","[576.94, 1234.663]","[1256.402, 1039.021]","[1378.017, 1118.336]",
"[1058.115, 1692.044]","[1769.303, 1310.012]","[2136.793, 1216.156]","[2647.05, 1385.361]","[1935.863, 2033.097]","[1058.115, 1692.044]",
"[3440.196, 893.61]","[3471.922, 1089.253]","[3815.618, 1089.253]","[3781.249, 996.719]","[3440.196, 893.61]",,
"[3448.128, 787.858]","[3442.84, 893.611]","[3787.858, 986.144]","[3805.042, 875.104]","[3448.128, 787.858]",,
"[2311.285, 486.463]","[2559.804, 499.682]","[2602.105, 560.49]","[2319.216, 549.914]","[2311.285, 486.463]",,
"[2176.45, 523.476]","[2147.368, 555.202]","[2089.204, 573.709]","[2187.026, 605.435]","[2284.847, 565.777]","[2261.053, 512.901]","[2176.45, 523.476]"
"[2052.191, 520.832]","[2179.094, 520.832]","[2147.368, 552.558]","[2025.753, 576.353]","[1941.151, 549.914]","[2052.191, 520.832]",
"[722.35, 549.914]","[1052.827, 531.408]","[1044.896, 597.503]","[717.062, 616.01]","[722.35, 549.914]",,
"[648.323, 626.585]","[836.034, 621.297]","[870.404, 663.599]","[709.131, 711.187]","[648.323, 626.585]",,
"[484.406, 700.612]","[664.186, 658.311]","[722.35, 729.694]","[539.926, 760.098]","[484.406, 700.612]",,
"[323.133, 750.845]","[500.269, 716.475]","[558.433, 806.365]","[294.051, 861.885]","[323.133, 750.845]",,
"[209.449, 975.569]","[653.611, 1028.446]","[370.722, 1303.403]","[0.0, 1263.745]","[0.0, 1120.979]","[209.449, 975.569]",
