[190.  682.5],[3.1920000e+03 9.8245614e-01]
[192.  683.3],[3.31408000e+03 1.14498141e+00]
[194.987977  680.3168707],[3.76884346e+03 1.06628078e+00]
[197.58220172 679.71368723],[4.15252031e+03 1.13239389e+00]
[200.16624505 679.99276678],[4.53551013e+03 1.20146329e+00]
[202.39018618 680.14682895],[4.91267866e+03 1.29321300e+00]
[204.14697523 680.23728626],[5.24441620e+03 1.38139621e+00]
[206.69596224 680.63661357],[5.45784897e+03 1.47362094e+00]
[209.55644621 679.43938309],[5.85872687e+03 1.46440758e+00]
[213.18131733 679.3435985 ],[6.14703970e+03 1.46562975e+00]
[215.17924222 679.3239144 ],[6.58233106e+03 1.54384164e+00]
[224.12430356 681.64098612],[6.08906277e+03 1.57617235e+00]
[230.92031874 682.22085381],[5.81215422e+03 1.60375094e+00]
[233.42679319 682.43321971],[5.70102151e+03 1.61234766e+00]
[237.20621614 682.8434981 ],[5.55069322e+03 1.62112891e+00]
[243.4486472  682.99194485],[5.52646542e+03 1.63389733e+00]
[249.31007482 682.70723224],[5.61534245e+03 1.62984547e+00]
[253.70984177 682.92912547],[5.74762544e+03 1.62008571e+00]
[255.25564931 683.00949418],[5.79413807e+03 1.61552327e+00]
[258.96951931 682.70580503],[5.66592729e+03 1.60873315e+00]
[262.54490189 682.25462201],[5.71521620e+03 1.59826097e+00]
[269.35562025 681.75462401],[5.62888093e+03 1.60039475e+00]
[271.80139702 681.89669383],[5.65593685e+03 1.58280662e+00]
[275.5438791  681.62198616],[5.76604856e+03 1.56948940e+00]
[281.42671753 681.84811059],[5.86848995e+03 1.54750558e+00]
[283.5155915  681.93624362],[5.90516712e+03 1.53902156e+00]
[286.45928113 681.97122867],[5.87574840e+03 1.52501416e+00]
[289.40418373 682.31399522],[6.00710957e+03 1.52471023e+00]
[293.01715654 682.44406068],[6.05520108e+03 1.52451170e+00]
[296.88347546 682.49278321],[5.94489583e+03 1.55677014e+00]
[300.51712516 682.50983057],[5.85974533e+03 1.55872687e+00]
[304.72191548 682.51489546],[5.99380452e+03 1.53671725e+00]
[308.15160928 682.51580656],[6.04309419e+03 1.52860273e+00]
[313.92365759 682.5149441 ],[6.06037446e+03 1.52548835e+00]
[315.96761962 682.51355303],[6.06537578e+03 1.52430400e+00]
[318.24199671 682.51209819],[6.02419595e+03 1.51340632e+00]
[320.93886506 682.51073079],[6.21803038e+03 1.49894184e+00]
[324.79452916 682.5096436 ],[6.03835734e+03 1.49335656e+00]
[327.76833069 682.17797959],[6.07283569e+03 1.48634978e+00]
[333.05645648 682.3823759 ],[5.98061052e+03 1.48881712e+00]
[334.91218662 682.46094951],[5.94497754e+03 1.48994535e+00]
[338.78447408 682.82097242],[5.99346076e+03 1.47502358e+00]
[340.10869784 682.95558781],[6.01147233e+03 1.46958339e+00]
[342.12953403 683.00478359],[6.06033296e+03 1.47801144e+00]
[345.74291282 683.35084463],[6.09817937e+03 1.45602733e+00]
[348.63966972 683.47929428],[6.15473216e+03 1.45812027e+00]
[349.61566211 683.52476796],[6.17546761e+03 1.45904450e+00]
[351.84577316 683.20927318],[6.24505751e+03 1.44491818e+00]
[353.89870386 683.41541208],[6.12196767e+03 1.43402233e+00]
[356.21545769 683.82221841],[6.17964100e+03 1.42582833e+00]
[358.63909449 683.31558134],[6.27995164e+03 1.38533016e+00]
[360.77092386 683.12131624],[6.31696114e+03 1.37067458e+00]
[362.79563975 683.37268474],[6.39119401e+03 1.35246909e+00]
[365.11346866 684.12174011],[6.37288954e+03 1.33639057e+00]
[368.20716349 684.07955391],[6.47161172e+03 1.32773884e+00]
[370.59743552 684.05982731],[6.50825548e+03 1.32481316e+00]
[372.72248435 684.04875322],[6.64278185e+03 1.29979318e+00]
[374.74848778 685.01959434],[6.53789073e+03 1.28410428e+00]
[376.73639548 685.39125504],[6.49644721e+03 1.27862003e+00]
[378.38326902 685.52639779],[6.64769332e+03 1.26301951e+00]
[379.90717292 685.89824378],[6.69228274e+03 1.27805470e+00]
[382.04661561 686.03381381],[6.65963754e+03 1.27507800e+00]
[383.75924944 686.40669774],[6.63276638e+03 1.29520912e+00]
[385.31411305 686.54045494],[6.57396220e+03 1.29397621e+00]
[387.13898101 686.58298058],[6.45681376e+03 1.27506673e+00]
[390.06713055 687.58218196],[6.63958579e+03 1.24281467e+00]
[391.08419493 687.95075671],[6.70813547e+03 1.23135442e+00]
[392.04715761 688.40910291],[6.67415311e+03 1.23827484e+00]
[393.32522871 689.23149757],[6.73048600e+03 1.21049405e+00]
[394.39312824 688.87686539],[6.75078009e+03 1.20049114e+00]
[396.05041465 689.38322281],[6.65815993e+03 1.17941273e+00]
[397.26535716 689.56536508],[6.62255344e+03 1.17184300e+00]
[398.31808024 689.62304558],[6.60903506e+03 1.16941083e+00]
[400.30879648 690.29222657],[6.65379201e+03 1.17771279e+00]
[401.65725348 691.19421921],[6.78728233e+03 1.16079459e+00]
[404.08638602 691.85128289],[6.79310658e+03 1.12802876e+00]
[404.93413487 692.08884306],[6.79437042e+03 1.11612013e+00]
[405.51941675 692.16423806],[6.74249557e+03 1.10354479e+00]
[407.0055842  693.16317462],[6.77903670e+03 1.09008684e+00]
[407.83591584 694.18476729],[6.61856213e+03 1.13132453e+00]
[408.75569123 694.22434341],[6.51128160e+03 1.12092927e+00]
[410.03980055 695.54737385],[6.63559896e+03 1.10666455e+00]
[410.80163956 696.35667114],[6.79117105e+03 1.10086654e+00]
[411.37007889 696.31753103],[6.96766912e+03 1.06402440e+00]
[412.52610348 696.93624396],[6.97541090e+03 1.07602292e+00]
[413.24728791 697.8109213 ],[7.02902181e+03 1.08925922e+00]
[413.47694951 698.78147677],[7.04791427e+03 1.09453833e+00]
[414.50866533 699.45764979],[7.05844686e+03 1.07965315e+00]
[415.1880004  700.34921301],[7.33892241e+03 1.08117844e+00]
[416.39473806 700.66755796],[7.39035843e+03 1.07387968e+00]
[417.47363452 701.42009519],[7.41326434e+03 1.03905635e+00]
[418.83395541 702.3389065 ],[7.47534139e+03 1.03406382e+00]
[419.63684438 703.32246038],[7.55334376e+03 1.04017327e+00]
[421.21882694 704.32944649],[7.46850830e+03 1.02727291e+00]
[421.77559157 705.01561642],[7.49129054e+03 1.01475304e+00]
[421.94365093 705.2510854 ],[7.49855552e+03 1.01029805e+00]
[422.63044247 707.2833163 ],[7.61412165e+03 9.93745479e-01]
[422.85319613 707.70463946],[7.59992265e+03 9.95213453e-01]
[423.89509584 708.49020795],[7.64827464e+03 9.73855149e-01]
[424.25396736 709.74350843],[7.72131679e+03 9.59112667e-01]
[425.3508478  711.82857208],[7.75108197e+03 9.68247669e-01]
[425.73345763 712.59576528],[7.76010486e+03 9.72046154e-01]
[425.84609551 713.1804416 ],[7.81913582e+03 9.66613754e-01]
[425.5285726  714.02583125],[7.89973015e+03 9.72096367e-01]
[425.38455965 714.97096593],[8.04747996e+03 9.88952130e-01]
[424.98322729 716.61220966],[8.39965329e+03 1.00263730e+00]
[424.8148862  717.53017171],[8.59372809e+03 1.00071967e+00]
[426.03994851 719.48094489],[8.36289622e+03 9.78847714e-01]
[427.15810378 721.17562703],[8.44631897e+03 9.50040867e-01]
[427.55943924 721.78251565],[8.47510719e+03 9.39573562e-01]
[427.69112892 722.62612383],[8.48377054e+03 9.35824631e-01]
[428.38318586 724.21905981],[8.48473583e+03 9.34618433e-01]
[428.95678633 725.44250931],[8.54595970e+03 9.41302299e-01]
[429.48480379 726.19433857],[8.57024423e+03 9.57528017e-01]
[429.33787612 726.76513608],[8.57846240e+03 9.77703236e-01]
[428.93605768 728.59264369],[8.94703148e+03 9.58555458e-01]
[427.78457444 730.55148637],[9.27950959e+03 9.98669178e-01]
[428.31276719 731.917466  ],[9.21359143e+03 9.67184761e-01]
